English,Kanjobal,ENG_Document,KJB_Document,Line,Classification
"Paul, called to be an apostle of Christ Jesus by the will of God, and our brother Sosthenes,","Ayin ton Pablo in, awtebil in oc chekbejok Cristo Jesús, yujtol axca tu' max el yin c'ul Dios. Ajun juẍtak Sóstenes wetok,",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,1,Religious
"To the church of God in Corinth, to those sanctified in Christ Jesus and called to be holy, together with all those everywhere who call on the name of our Lord Jesus Christ–their Lord and ours:","cax chi co tz'ibentok jun carta ti' ayex, ex yiglesiaxa Dios bay conob Corinto. Yet exxa Dios, yujtol ayexxa oc yin Cristo Jesús. A Dios awtenej ex oc yetok, jun lajan e yawtelay oc yetok jantak eb tzanc'al baytal chi yal ba bay Cham Jajawil Jesucristo, Cham tol Yajawil c'apax eb jetok.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,2,Religious
Grace and peace to you from God our Father and the Lord Jesus Christ.,"Tx'oxokabc'al co Mam Dios, c'al Cham Jajawil Jesucristo watx'c'ulalil, c'al junc'ulalil ayex bay tu'.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,3,Religious
I always thank God for you because of his grace given you in Christ Jesus.,"Masanilc'al tiempo chi wal yuj diosalil bay Dios e yuj, yujtol tx'oxbilxa is watx'c'ulal ayex yuj Cristo Jesús.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,4,Religious
For in him you have been enriched in every way–in all your speaking and in all your knowledge–,"Xiwilxa is watx'c'ulal Dios mayal tx'ox ayex yin Cristo. Yuj tu', tz'akan max yak' e yalil is k'anej; yetok c'apaxok, tz'akan max yun yak'on nachaj el e yuj.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,5,Religious
because our testimony about Christ was confirmed in you.,"Xan a yin e beybal chi txecloj elok, tol yel a k'anej Cristo chi jalilok.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,6,Religious
Therefore you do not lack any spiritual gift as you eagerly wait for our Lord Jesus Christ to be revealed.,"A tinani xin, lanan e makon jay c'ual is jayubal Cham Jajawil Jesucristo. C'am junok sabal Dios chi yak' palta ayex tinani'.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,7,Religious
"He will keep you strong to the end, so that you will be blameless on the day of our Lord Jesus Christ.","Ok yak'c'al Jesucristo tec'anil e nabal, masantac'al ok yal jay jun lajub c'ual tu', yet watx' c'am jabok tzet yin bay moj e tzulay yet ok jay Cham.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,8,Religious
"God, who has called you into fellowship with his Son Jesus Christ our Lord, is faithful.","A Dios chic'al yun masanil tzet chi yala'. A Cham max on awten oc yetok, yet watx' ay jalon jet yetok Cham is C'ajol, a ton Cham Jajawil Jesucristo.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,9,Religious
"I appeal to you, brothers, in the name of our Lord Jesus Christ, that all of you agree with one another so that there may be no divisions among you and that you may be perfectly united in mind and thought.","Ex wuẍtak, ex wanab, chin tewi ayex, axcaokab tol a Cham Jajawil Jesucristo chi tewi ayex, junxanejokab che yut e nabal e masanil bay tu'. Man comonok che pojil e ba xol eb juẍtak, eb janab bay tu', palta tol axcaokab junxanej animail che yut e ba, c'al e nabal; cax jun lajanokab chaon e c'ul masanil tzetak yetal.",1CO-1-ENGNIV.txt,1CO-1-KJBSBG.txt,10,Religious
