Document,Title,Book,Author,URL,Classification
1CH-1-ENG.txt,1 Chronicles 1,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/1,Religious
1CH-1-KNJ.txt,1A Crónicas 1,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/1,Religious
1CH-10-ENG.txt,1 Chronicles 10,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/10,Religious
1CH-10-KNJ.txt,1A Crónicas 10,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/10,Religious
1CH-11-ENG.txt,1 Chronicles 11,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/11,Religious
1CH-11-KNJ.txt,1A Crónicas 11,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/11,Religious
1CH-12-ENG.txt,1 Chronicles 12,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/12,Religious
1CH-12-KNJ.txt,1A Crónicas 12,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/12,Religious
1CH-13-ENG.txt,1 Chronicles 13,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/13,Religious
1CH-13-KNJ.txt,1A Crónicas 13,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/13,Religious
1CH-14-ENG.txt,1 Chronicles 14,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/14,Religious
1CH-14-KNJ.txt,1A Crónicas 14,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/14,Religious
1CH-15-ENG.txt,1 Chronicles 15,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/15,Religious
1CH-15-KNJ.txt,1A Crónicas 15,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/15,Religious
1CH-16-ENG.txt,1 Chronicles 16,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/16,Religious
1CH-16-KNJ.txt,1A Crónicas 16,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/16,Religious
1CH-17-ENG.txt,1 Chronicles 17,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/17,Religious
1CH-17-KNJ.txt,1A Crónicas 17,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/17,Religious
1CH-18-ENG.txt,1 Chronicles 18,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/18,Religious
1CH-18-KNJ.txt,1A Crónicas 18,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/18,Religious
1CH-19-ENG.txt,1 Chronicles 19,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/19,Religious
1CH-19-KNJ.txt,1A Crónicas 19,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/19,Religious
1CH-2-ENG.txt,1 Chronicles 2,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/2,Religious
1CH-2-KNJ.txt,1A Crónicas 2,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/2,Religious
1CH-20-ENG.txt,1 Chronicles 20,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/20,Religious
1CH-20-KNJ.txt,1A Crónicas 20,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/20,Religious
1CH-21-ENG.txt,1 Chronicles 21,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/21,Religious
1CH-21-KNJ.txt,1A Crónicas 21,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/21,Religious
1CH-22-ENG.txt,1 Chronicles 22,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/22,Religious
1CH-22-KNJ.txt,1A Crónicas 22,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/22,Religious
1CH-23-ENG.txt,1 Chronicles 23,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/23,Religious
1CH-23-KNJ.txt,1A Crónicas 23,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/23,Religious
1CH-24-ENG.txt,1 Chronicles 24,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/24,Religious
1CH-24-KNJ.txt,1A Crónicas 24,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/24,Religious
1CH-25-ENG.txt,1 Chronicles 25,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/25,Religious
1CH-25-KNJ.txt,1A Crónicas 25,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/25,Religious
1CH-26-ENG.txt,1 Chronicles 26,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/26,Religious
1CH-26-KNJ.txt,1A Crónicas 26,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/26,Religious
1CH-27-ENG.txt,1 Chronicles 27,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/27,Religious
1CH-27-KNJ.txt,1A Crónicas 27,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/27,Religious
1CH-28-ENG.txt,1 Chronicles 28,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/28,Religious
1CH-28-KNJ.txt,1A Crónicas 28,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/28,Religious
1CH-29-ENG.txt,1 Chronicles 29,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/29,Religious
1CH-29-KNJ.txt,1A Crónicas 29,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/29,Religious
1CH-3-ENG.txt,1 Chronicles 3,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/3,Religious
1CH-3-KNJ.txt,1A Crónicas 3,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/3,Religious
1CH-4-ENG.txt,1 Chronicles 4,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/4,Religious
1CH-4-KNJ.txt,1A Crónicas 4,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/4,Religious
1CH-5-ENG.txt,1 Chronicles 5,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/5,Religious
1CH-5-KNJ.txt,1A Crónicas 5,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/5,Religious
1CH-6-ENG.txt,1 Chronicles 6,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/6,Religious
1CH-6-KNJ.txt,1A Crónicas 6,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/6,Religious
1CH-7-ENG.txt,1 Chronicles 7,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/7,Religious
1CH-7-KNJ.txt,1A Crónicas 7,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/7,Religious
1CH-8-ENG.txt,1 Chronicles 8,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/8,Religious
1CH-8-KNJ.txt,1A Crónicas 8,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/8,Religious
1CH-9-ENG.txt,1 Chronicles 9,Old Testament (New International Version),,listen.bible.is/ENGNIV/1CH/9,Religious
1CH-9-KNJ.txt,1A Crónicas 9,Old Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CH/9,Religious
1CO-1-ENG.txt,1 Corinthians 1,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/1,Religious
1CO-1-KNJ.txt,1 Corintios 1,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/1,Religious
1CO-10-ENG.txt,1 Corinthians 10,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/10,Religious
1CO-10-KNJ.txt,1 Corintios 10,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/10,Religious
1CO-11-ENG.txt,1 Corinthians 11,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/11,Religious
1CO-11-KNJ.txt,1 Corintios 11,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/11,Religious
1CO-12-ENG.txt,1 Corinthians 12,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/12,Religious
1CO-12-KNJ.txt,1 Corintios 12,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/12,Religious
1CO-13-ENG.txt,1 Corinthians 13,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/13,Religious
1CO-13-KNJ.txt,1 Corintios 13,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/13,Religious
1CO-14-ENG.txt,1 Corinthians 14,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/14,Religious
1CO-14-KNJ.txt,1 Corintios 14,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/14,Religious
1CO-15-ENG.txt,1 Corinthians 15,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/15,Religious
1CO-15-KNJ.txt,1 Corintios 15,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/15,Religious
1CO-16-ENG.txt,1 Corinthians 16,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/16,Religious
1CO-16-KNJ.txt,1 Corintios 16,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/16,Religious
1CO-2-ENG.txt,1 Corinthians 2,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/2,Religious
1CO-2-KNJ.txt,1 Corintios 2,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/2,Religious
1CO-3-ENG.txt,1 Corinthians 3,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/3,Religious
1CO-3-KNJ.txt,1 Corintios 3,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/3,Religious
1CO-4-ENG.txt,1 Corinthians 4,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/4,Religious
1CO-4-KNJ.txt,1 Corintios 4,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/4,Religious
1CO-5-ENG.txt,1 Corinthians 5,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/5,Religious
1CO-5-KNJ.txt,1 Corintios 5,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/5,Religious
1CO-6-ENG.txt,1 Corinthians 6,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/6,Religious
1CO-6-KNJ.txt,1 Corintios 6,New Testament (Acateco 2016 Edition),,listen.bible.is/KNJAEM/1CO/6,Religious
1CO-7-ENG.txt,1 Corinthians 7,New Testament (New International Version),,listen.bible.is/ENGNIV/1CO/7,Religious
